Date,Open,High,Low,Close,Volume
2021-02-12 00:30:00,46847.4,48910.33,45891.45,48503.78,62024
2021-02-12 04:30:00,48485.78,48485.83,46948.37,47295.01,20640
2021-02-12 08:30:00,47295.01,47731.32,46841.22,47387.39,18396
2021-02-12 12:30:00,47387.39,48197.64,47352.46,47927.0,17693
2021-02-12 16:30:00,47927.0,47998.32,46298.33,47793.51,19661
2021-02-12 20:30:00,47793.51,48198.32,46995.91,47877.67,19117
2021-02-13 00:30:00,47837.31,48136.98,46196.11,47713.75,50208
2021-02-13 04:30:00,47712.97,48197.32,47523.38,47973.94,15774
2021-02-13 08:30:00,47973.94,47998.28,46706.33,47257.73,16837
2021-02-13 12:30:00,47256.7,47286.37,46298.33,47022.24,20279
2021-02-13 16:30:00,47022.24,47398.33,46723.47,46897.08,20508
2021-02-13 20:30:00,46897.08,47423.33,46732.13,47216.06,17831
2021-02-14 00:30:00,47055.17,49595.37,46822.42,47661.31,41606
2021-02-14 04:30:00,47479.52,48910.33,47298.38,48908.44,12614
2021-02-14 08:30:00,48908.44,49342.46,48406.93,49156.35,17373
2021-02-14 12:30:00,49155.94,49698.2,48585.61,48793.13,18059
2021-02-14 16:30:00,48802.87,49140.55,48162.79,48678.38,18643
2021-02-14 20:30:00,48678.38,49080.04,48477.18,48911.54,16919
2021-02-15 00:30:00,48707.35,49314.34,45671.69,48098.33,51763
2021-02-15 04:30:00,48093.62,48253.33,45855.38,46784.06,23529
2021-02-15 08:30:00,46774.47,47788.37,46741.62,47550.29,18831
2021-02-15 12:30:00,47550.29,48244.72,47355.52,47998.71,16989
2021-02-15 16:30:00,47998.38,48798.24,47497.9,48556.33,17877
2021-02-15 20:30:00,48563.31,48796.4,48147.46,48171.21,14306
2021-02-16 00:30:00,48118.0,50385.5,46991.24,48305.61,58491
2021-02-16 04:30:00,48305.61,49898.15,48175.62,49161.67,18670
2021-02-16 08:30:00,49166.69,49323.72,48563.33,49284.88,17088
2021-02-16 12:30:00,49284.88,50591.49,48396.86,48949.27,20521
2021-02-16 16:30:00,48942.71,49529.66,48097.38,48263.47,20732
2021-02-16 20:30:00,48264.36,48835.65,47805.51,48597.7,18338
2021-02-17 00:30:00,48482.6,52510.16,48413.67,49275.32,53673
2021-02-17 04:30:00,49280.42,50206.92,49146.99,49733.97,20112
2021-02-17 08:30:00,49741.8,51716.21,49656.97,51476.11,20668
2021-02-17 12:30:00,51476.11,51698.32,50498.38,51148.61,19658
2021-02-17 16:30:00,51148.55,51642.72,50724.76,51386.27,20236
2021-02-17 20:30:00,51389.24,52638.68,51317.52,52304.48,19627
2021-02-18 00:30:00,52322.37,52548.32,50822.02,52158.68,45309
2021-02-18 04:30:00,52158.68,52449.69,51731.92,52208.38,16106
2021-02-18 08:30:00,52208.41,52258.32,51315.1,51768.74,15548
2021-02-18 12:30:00,51768.74,52025.79,50873.38,51806.15,16103
2021-02-18 16:30:00,51809.12,52287.94,51406.13,51824.11,18999
2021-02-18 20:30:00,51825.79,52197.41,51538.54,52063.38,14219
2021-02-19 00:30:00,51959.77,56180.12,50698.16,51296.38,49329
2021-02-19 04:30:00,51296.33,51509.0,50723.38,51489.86,16422
2021-02-19 08:30:00,51489.85,52873.04,51477.58,52637.92,13152
2021-02-19 12:30:00,52638.2,52897.66,52322.27,52788.66,12565
2021-02-19 16:30:00,52794.08,54879.04,52642.69,54798.33,17572
2021-02-19 20:30:00,54798.32,56352.14,54608.34,55513.07,19440
2021-02-20 00:30:00,55492.88,57412.76,54970.45,56234.34,51681
2021-02-20 04:30:00,56234.34,56444.5,55553.33,55712.77,15686
2021-02-20 08:30:00,55712.77,55998.32,55045.12,55261.55,13330
2021-02-20 12:30:00,55261.55,57557.7,55248.38,57306.4,12448
2021-02-20 16:30:00,57307.91,57498.33,55849.45,57110.87,20576
2021-02-20 20:30:00,57110.87,57279.33,56296.15,56639.93,15688
2021-02-21 00:30:00,56394.88,58244.85,53932.6,55860.23,54834
2021-02-21 04:30:00,56350.94,56971.2,56135.23,56588.33,10325
2021-02-21 08:30:00,56588.33,56863.36,55866.29,56831.46,12423
2021-02-21 12:30:00,56831.22,57798.33,56639.51,57195.68,14045
2021-02-21 16:30:00,57195.67,57781.33,56854.5,57530.51,15475
2021-02-21 20:30:00,57529.38,58365.26,57262.08,57361.11,15261
2021-02-22 00:30:00,57161.04,57664.99,48193.91,56916.31,65436
2021-02-22 04:30:00,56916.31,57293.29,55148.37,55878.03,18381
2021-02-22 08:30:00,55878.03,56627.7,54361.41,54728.38,13712
2021-02-22 12:30:00,54730.2,55254.61,52028.38,52040.81,23499
2021-02-22 16:30:00,52028.38,54387.64,49724.61,52050.39,24604
2021-02-22 20:30:00,52050.34,54918.55,51557.93,54911.19,21635
2021-02-23 00:30:00,54773.67,55027.95,44942.5,52537.14,89666
2021-02-23 04:30:00,52537.14,52877.81,48559.12,49998.33,27105
2021-02-23 08:30:00,49998.33,51244.51,44998.33,48059.34,28522
2021-02-23 12:30:00,48061.98,49612.09,44897.13,48729.78,29105
2021-02-23 16:30:00,48726.39,49298.32,45797.31,47132.69,27207
2021-02-23 20:30:00,47131.0,48472.51,45198.38,48098.33,27255
2021-02-24 00:30:00,47913.22,51285.51,46860.38,50222.54,80618
2021-02-24 04:30:00,50235.3,51396.33,49835.33,50224.27,23435
2021-02-24 08:30:00,50224.27,51410.54,49437.15,50898.53,22424
2021-02-24 12:30:00,50898.53,51298.39,49006.36,49475.86,22314
2021-02-24 16:30:00,49475.86,50143.25,48496.21,50095.02,21433
2021-02-24 20:30:00,50095.01,50099.34,48121.29,48770.26,18747
2021-02-25 00:30:00,48679.38,52043.68,47993.14,50498.38,70511
2021-02-25 04:30:00,50498.38,50840.49,49598.38,50424.07,16898
2021-02-25 08:30:00,50424.85,50618.24,48663.97,49027.26,16895
2021-02-25 12:30:00,49027.25,52082.38,48867.68,51386.5,19542
2021-02-25 16:30:00,51386.5,51548.33,49317.72,49498.38,21933
2021-02-25 20:30:00,49498.38,50066.26,48125.39,48181.08,22378
2021-02-26 00:30:00,48035.09,48838.35,43973.56,46493.6,89322
2021-02-26 04:30:00,46503.82,47812.18,45508.38,45513.36,24861
2021-02-26 08:30:00,45513.36,46599.19,44151.33,46429.04,26948
2021-02-26 12:30:00,46427.66,47265.23,45668.94,45938.07,24613
2021-02-26 16:30:00,45943.49,48455.17,45833.78,47677.49,24034
2021-02-26 20:30:00,47677.5,47892.68,45498.38,45625.47,23524
2021-02-27 00:30:00,45610.76,48287.81,44981.45,47746.31,73466
2021-02-27 04:30:00,47746.31,47998.06,47196.77,47782.67,20121
2021-02-27 08:30:00,47777.85,48348.58,46222.38,46658.11,20650
2021-02-27 12:30:00,46658.11,47818.33,46583.99,47461.25,20653
2021-02-27 16:30:00,47465.26,47645.91,46311.64,47095.25,20513
2021-02-27 20:30:00,47094.62,47587.83,46597.28,46840.97,14783
2021-02-28 00:30:00,46831.41,46840.33,43120.5,46400.99,67848
2021-02-28 04:30:00,45431.75,45732.44,44249.45,44801.86,18764
2021-02-28 08:30:00,44810.82,45493.33,43808.37,45113.4,22919
2021-02-28 12:30:00,45113.4,45521.16,44165.84,44190.17,19355
2021-02-28 16:30:00,44198.18,44632.52,43014.37,43168.38,26193
2021-02-28 20:30:00,43168.33,45466.43,43113.72,45255.6,22383
2021-03-01 00:30:00,45250.16,49372.62,44842.61,46264.8,69738
2021-03-01 04:30:00,46262.74,46880.54,46015.35,46232.34,18741
2021-03-01 08:30:00,46233.93,47553.51,45682.54,47407.16,17682
2021-03-01 12:30:00,47412.43,48540.34,46991.06,47887.45,19421
2021-03-01 16:30:00,47887.5,49571.91,47688.38,48608.98,22598
2021-03-01 20:30:00,48611.83,48959.63,48011.27,48865.07,17665
2021-03-02 00:30:00,48792.26,50245.05,47098.12,49426.76,61622
2021-03-02 04:30:00,49426.76,49823.38,48683.33,48704.79,17050
2021-03-02 08:30:00,48704.78,49285.38,48338.98,49171.61,13464
2021-03-02 12:30:00,49171.6,49297.2,48579.0,49025.16,16192
2021-03-02 16:30:00,49023.29,49748.33,47203.87,47888.89,19222
2021-03-02 20:30:00,47890.27,48079.96,47072.99,47449.58,18458
2021-03-03 00:30:00,47419.77,52500.17,47377.81,48883.09,58478
2021-03-03 04:30:00,48882.8,49468.38,48524.78,49111.82,12448
2021-03-03 08:30:00,49106.46,51513.83,49106.46,51473.63,15589
2021-03-03 12:30:00,51471.6,52661.8,51193.89,51558.84,20944
2021-03-03 16:30:00,51558.84,51559.21,50507.18,51377.54,20070
2021-03-03 20:30:00,51377.33,51643.32,50298.38,50913.81,18320
2021-03-04 00:30:00,50910.92,51711.04,47542.63,51506.42,68884
2021-03-04 04:30:00,51506.42,51796.66,48997.92,49703.55,20118
2021-03-04 08:30:00,49702.27,50742.74,48566.67,49098.33,18438
2021-03-04 12:30:00,49098.32,49788.47,48740.04,49672.45,20674
2021-03-04 16:30:00,49675.95,50582.3,48261.13,48454.8,23591
2021-03-04 20:30:00,48458.24,48591.41,47497.39,47898.1,22359
2021-03-05 00:30:00,47868.27,49425.56,46248.38,46687.16,66624
2021-03-05 04:30:00,46690.89,47348.96,46348.52,47137.14,18906
2021-03-05 08:30:00,47136.3,47547.97,46421.05,47033.95,16134
2021-03-05 12:30:00,47033.95,48348.17,46774.02,48090.33,18563
2021-03-05 16:30:00,48091.12,48762.98,46883.05,48089.1,23902
2021-03-05 20:30:00,48089.09,49466.47,47948.19,49115.3,20646
2021-03-06 00:30:00,49048.97,49378.34,47099.12,48640.96,52528
2021-03-06 04:30:00,48640.95,48848.32,48096.43,48479.97,12916
2021-03-06 08:30:00,48479.97,49109.74,48270.96,48306.4,14587
2021-03-06 12:30:00,48309.0,48479.77,47075.26,47332.83,17604
2021-03-06 16:30:00,47332.83,48472.95,47133.62,48279.29,19174
2021-03-06 20:30:00,48273.22,48751.79,48148.07,48575.8,18660
2021-03-07 00:30:00,48512.56,51284.51,48434.65,49234.31,46072
2021-03-07 04:30:00,49572.65,49909.27,49148.33,49364.38,11259
2021-03-07 08:30:00,49364.48,51148.24,49163.71,50950.66,16297
2021-03-07 12:30:00,50950.66,50985.08,50406.81,50798.38,16213
2021-03-07 16:30:00,50798.38,51340.35,50164.88,51048.33,18879
2021-03-07 20:30:00,51048.32,51053.32,49756.19,50083.41,16781
2021-03-08 00:30:00,50008.92,51923.81,49306.69,51572.04,52701
2021-03-08 04:30:00,51572.59,51604.08,50148.38,50814.04,17248
2021-03-08 08:30:00,50814.04,50978.55,49327.99,49905.06,17383
2021-03-08 12:30:00,49905.01,51085.09,49711.01,51006.38,17444
2021-03-08 16:30:00,51011.63,51268.33,50173.0,50813.41,20190
2021-03-08 20:30:00,50813.47,51990.21,50726.6,51900.97,19383
2021-03-09 00:30:00,51832.91,54769.67,51408.41,53561.15,50911
2021-03-09 04:30:00,53567.79,54428.23,53250.9,54282.58,20738
2021-03-09 08:30:00,54278.91,54487.33,53285.6,54127.49,18534
2021-03-09 12:30:00,54127.5,54815.41,53556.29,54801.04,17794
2021-03-09 16:30:00,54801.04,54801.04,53781.12,53799.93,19041
2021-03-09 20:30:00,53803.74,54590.22,53650.16,54319.39,15196
2021-03-10 00:30:00,54283.21,57371.81,53088.52,54736.74,54245
2021-03-10 04:30:00,54736.73,54736.73,53023.33,53670.72,19908
2021-03-10 08:30:00,53671.83,55414.17,53542.94,55229.08,15177
2021-03-10 12:30:00,55229.18,56338.32,54531.94,56299.2,18532
2021-03-10 16:30:00,56299.2,57177.37,55814.22,56895.37,21633
2021-03-10 20:30:00,56895.36,57400.46,55504.42,56910.45,21256
2021-03-11 00:30:00,56894.33,57921.2,54333.15,55776.38,62303
2021-03-11 04:30:00,55776.38,56448.32,55170.98,55225.12,16554
2021-03-11 08:30:00,55225.12,55753.33,54280.1,54458.38,16330
2021-03-11 12:30:00,54458.38,56998.33,54402.09,56925.31,20035
2021-03-11 16:30:00,56925.3,57186.33,55898.38,56837.23,20779
2021-03-11 20:30:00,56837.23,57933.9,56551.23,57692.42,21525
2021-03-12 00:30:00,57617.54,58187.91,55114.29,56906.79,62459
2021-03-12 04:30:00,56906.79,57267.08,56355.91,57159.25,17164
2021-03-12 08:30:00,57159.25,57389.32,56278.38,56509.59,15282
2021-03-12 12:30:00,56509.51,57056.1,55055.83,55693.61,18224
2021-03-12 16:30:00,55693.62,57733.33,55349.39,57144.78,21222
2021-03-12 20:30:00,57144.78,57659.95,56298.38,56970.29,18286
2021-03-13 00:30:00,56952.27,61616.13,56077.42,56387.77,49883
2021-03-13 04:30:00,56385.32,57072.3,56107.58,56727.08,13796
2021-03-13 08:30:00,56729.44,57598.33,56498.38,57570.33,13733
2021-03-13 12:30:00,57570.32,60413.64,57423.8,59922.17,22927
2021-03-13 16:30:00,59922.63,60411.47,59458.33,60332.56,19639
2021-03-13 20:30:00,60333.06,61786.78,59998.33,60971.48,19976
2021-03-14 00:30:00,61043.76,61678.33,59202.79,61263.27,49239
2021-03-14 04:30:00,61068.19,61516.4,60907.81,60991.9,10435
2021-03-14 08:30:00,60991.9,61088.73,60226.91,60905.24,13768
2021-03-14 12:30:00,60905.23,60938.95,59398.39,59962.29,15905
2021-03-14 16:30:00,59943.58,60486.16,59291.58,59720.82,17284
2021-03-14 20:30:00,59720.82,60492.33,59720.77,60050.44,15211
2021-03-15 00:30:00,59994.92,60744.61,54497.97,60036.82,63546
2021-03-15 04:30:00,60039.3,60587.13,58999.38,58999.38,17520
2021-03-15 08:30:00,59000.79,59345.87,54626.7,55823.88,22848
2021-03-15 12:30:00,55823.83,57087.52,55024.6,56912.72,22550
2021-03-15 16:30:00,56912.72,57319.48,55496.9,56055.88,21156
2021-03-15 20:30:00,56050.93,56946.3,55827.78,56807.12,17306
2021-03-16 00:30:00,56735.51,56932.68,53219.86,54509.48,67233
2021-03-16 04:30:00,54509.47,54808.38,53557.49,54018.32,18524
2021-03-16 08:30:00,54018.32,56414.5,53598.33,55877.54,18948
2021-03-16 12:30:00,55875.8,56136.73,54577.21,55287.31,20588
2021-03-16 16:30:00,55293.43,56089.75,54956.96,55245.49,20577
2021-03-16 20:30:00,55239.09,56596.19,55105.77,56460.65,14336
2021-03-17 00:30:00,56399.88,58426.65,53971.55,56306.28,58282
2021-03-17 04:30:00,56306.32,56306.92,55208.39,55991.42,16837
2021-03-17 08:30:00,55973.73,56349.22,54425.1,54789.98,15131
2021-03-17 12:30:00,54789.93,55420.6,54146.38,55120.53,20274
2021-03-17 16:30:00,55120.54,55655.13,54326.44,55571.95,18753
2021-03-17 20:30:00,55571.97,58721.5,55571.97,58379.91,21246
2021-03-18 00:30:00,58270.82,60061.85,56973.25,59043.69,59667
2021-03-18 04:30:00,59045.38,59298.31,58587.56,58979.67,16613
2021-03-18 08:30:00,58979.66,59078.1,57943.72,58403.72,16055
2021-03-18 12:30:00,58403.72,58643.98,57547.48,57831.35,17038
2021-03-18 16:30:00,57831.31,60097.54,57507.69,59218.22,21138
2021-03-18 20:30:00,59218.66,59285.72,56988.44,57897.5,18675
2021-03-19 00:30:00,57849.28,59402.57,56208.09,57390.85,54680
2021-03-19 04:30:00,57390.85,58384.0,57209.81,58354.68,15281
2021-03-19 08:30:00,58350.32,58870.76,57462.5,58280.12,15595
2021-03-19 12:30:00,58280.13,59233.71,58033.56,58246.88,18162
