Date,Open,High,Low,Close,Volume
2025-05-26 03:30:00,98.94,98.97,98.88,98.94,133
2025-05-26 03:45:00,98.94,98.95,98.82,98.82,211
2025-05-26 04:00:00,98.82,98.85,98.8,98.85,122
2025-05-26 04:15:00,98.85,98.86,98.77,98.77,161
2025-05-26 04:30:00,98.78,98.85,98.77,98.82,155
2025-05-26 04:45:00,98.82,98.82,98.74,98.75,144
2025-05-26 05:00:00,98.75,98.82,98.74,98.74,182
2025-05-26 05:15:00,98.74,98.75,98.61,98.63,229
2025-05-26 05:30:00,98.64,98.67,98.57,98.62,165
2025-05-26 05:45:00,98.62,98.65,98.58,98.61,129
2025-05-26 06:00:00,98.61,98.65,98.6,98.64,119
2025-05-26 06:15:00,98.63,98.65,98.58,98.64,128
2025-05-26 06:30:00,98.65,98.68,98.62,98.67,133
2025-05-26 06:45:00,98.67,98.7,98.67,98.69,104
2025-05-26 07:00:00,98.68,98.7,98.68,98.69,112
2025-05-26 07:15:00,98.69,98.69,98.65,98.65,96
2025-05-26 07:30:00,98.66,98.7,98.65,98.68,74
2025-05-26 07:45:00,98.68,98.7,98.67,98.69,90
2025-05-26 08:00:00,98.69,98.73,98.68,98.69,167
2025-05-26 08:15:00,98.68,98.7,98.65,98.68,104
2025-05-26 08:30:00,98.67,98.71,98.66,98.68,130
2025-05-26 08:45:00,98.69,98.73,98.67,98.72,117
2025-05-26 09:00:00,98.72,98.75,98.71,98.72,133
2025-05-26 09:15:00,98.72,98.73,98.6,98.62,159
2025-05-26 09:30:00,98.62,98.69,98.61,98.63,182
2025-05-26 09:45:00,98.64,98.67,98.62,98.66,234
2025-05-26 10:00:00,98.65,98.68,98.63,98.64,182
2025-05-26 10:15:00,98.65,98.7,98.64,98.68,184
2025-05-26 10:30:00,98.69,98.79,98.66,98.77,202
2025-05-26 10:45:00,98.76,98.79,98.73,98.77,204
2025-05-26 11:00:00,98.77,98.83,98.77,98.78,202
2025-05-26 11:15:00,98.78,98.83,98.76,98.83,166
2025-05-26 11:30:00,98.82,98.83,98.78,98.79,151
2025-05-26 11:45:00,98.78,98.87,98.78,98.82,118
2025-05-26 12:00:00,98.82,98.85,98.78,98.81,123
2025-05-26 12:15:00,98.81,98.88,98.8,98.86,168
2025-05-26 12:30:00,98.86,98.9,98.85,98.87,129
2025-05-26 12:45:00,98.88,98.91,98.86,98.9,115
2025-05-26 13:00:00,98.89,98.92,98.87,98.9,89
2025-05-26 13:15:00,98.9,98.92,98.89,98.9,100
2025-05-26 13:30:00,98.89,98.93,98.87,98.88,83
2025-05-26 13:45:00,98.88,98.9,98.86,98.9,94
2025-05-26 14:00:00,98.9,98.92,98.86,98.9,101
2025-05-26 14:15:00,98.9,98.9,98.86,98.87,90
2025-05-26 14:30:00,98.87,98.9,98.84,98.88,68
2025-05-26 14:45:00,98.88,98.91,98.86,98.91,82
2025-05-26 15:00:00,98.9,98.94,98.9,98.94,84
2025-05-26 15:15:00,98.94,98.95,98.9,98.92,135
2025-05-26 15:30:00,98.92,98.92,98.89,98.91,105
2025-05-26 15:45:00,98.91,98.98,98.91,98.98,170
2025-05-26 16:00:00,98.98,98.99,98.93,98.94,79
2025-05-26 16:15:00,98.96,98.99,98.94,98.95,116
2025-05-26 16:30:00,98.95,98.97,98.93,98.94,85
2025-05-26 16:45:00,98.94,98.94,98.91,98.91,94
2025-05-26 17:00:00,98.91,98.95,98.89,98.93,138
2025-05-26 17:15:00,98.92,98.94,98.88,98.89,93
2025-05-26 17:30:00,98.89,98.93,98.88,98.91,138
2025-05-26 17:45:00,98.91,98.92,98.87,98.88,92
2025-05-26 18:00:00,98.88,98.91,98.87,98.88,96
2025-05-26 18:15:00,98.89,98.89,98.86,98.87,91
2025-05-26 18:30:00,98.87,98.9,98.86,98.9,145
2025-05-26 18:45:00,98.9,98.91,98.88,98.88,55
2025-05-26 19:00:00,98.88,98.91,98.87,98.88,74
2025-05-26 19:15:00,98.88,98.89,98.87,98.88,141
2025-05-26 19:30:00,98.88,98.9,98.88,98.9,55
2025-05-26 19:45:00,98.9,98.92,98.87,98.87,46
2025-05-26 20:00:00,98.88,98.89,98.87,98.88,52
2025-05-26 20:15:00,98.88,98.89,98.86,98.87,32
2025-05-26 20:30:00,98.86,98.87,98.86,98.86,21
2025-05-26 20:45:00,98.87,98.89,98.87,98.89,14
2025-05-26 21:00:00,98.89,98.91,98.88,98.88,16
2025-05-26 21:15:00,98.87,98.89,98.86,98.89,27
2025-05-26 21:30:00,98.89,98.89,98.87,98.87,22
2025-05-26 21:45:00,98.86,98.88,98.86,98.87,77
2025-05-26 22:00:00,98.88,98.89,98.87,98.89,17
2025-05-26 22:15:00,98.89,98.89,98.87,98.89,23
2025-05-26 22:30:00,98.88,98.89,98.87,98.87,9
2025-05-26 22:45:00,98.87,98.88,98.87,98.87,10
2025-05-26 23:00:00,98.87,98.88,98.87,98.87,4
2025-05-26 23:15:00,98.88,98.88,98.86,98.86,23
2025-05-26 23:30:00,98.86,98.87,98.85,98.85,73
2025-05-26 23:45:00,98.86,98.87,98.85,98.87,50
2025-05-27 00:00:00,98.86,98.87,98.86,98.86,48
2025-05-27 00:15:00,98.86,98.86,98.84,98.85,35
2025-05-27 03:30:00,98.83,98.83,98.72,98.73,144
2025-05-27 03:45:00,98.74,98.74,98.69,98.71,84
2025-05-27 04:00:00,98.72,98.74,98.7,98.73,63
2025-05-27 04:15:00,98.73,98.73,98.7,98.72,87
2025-05-27 04:30:00,98.72,98.72,98.66,98.67,128
2025-05-27 04:45:00,98.66,98.69,98.66,98.68,84
2025-05-27 05:00:00,98.68,98.76,98.66,98.76,152
2025-05-27 05:15:00,98.75,98.79,98.75,98.76,117
2025-05-27 05:30:00,98.76,98.8,98.71,98.71,109
2025-05-27 05:45:00,98.72,98.74,98.69,98.74,87
2025-05-27 06:00:00,98.74,98.78,98.72,98.74,107
2025-05-27 06:15:00,98.74,98.8,98.74,98.79,115
2025-05-27 06:30:00,98.79,98.81,98.76,98.76,86
2025-05-27 06:45:00,98.76,98.77,98.74,98.77,80
2025-05-27 07:00:00,98.76,98.81,98.76,98.8,74
2025-05-27 07:15:00,98.8,98.81,98.78,98.8,80
2025-05-27 07:30:00,98.79,98.8,98.75,98.77,99
2025-05-27 07:45:00,98.77,98.81,98.76,98.8,61
2025-05-27 08:00:00,98.8,98.9,98.8,98.89,121
2025-05-27 08:15:00,98.9,98.95,98.88,98.94,185
2025-05-27 08:30:00,98.93,99.05,98.93,99.0,222
2025-05-27 08:45:00,99.0,99.06,98.96,99.04,181
2025-05-27 09:00:00,99.03,99.07,98.98,98.99,208
2025-05-27 09:15:00,98.99,99.02,98.97,98.98,167
2025-05-27 09:30:00,98.97,98.98,98.88,98.89,222
2025-05-27 09:45:00,98.89,98.91,98.84,98.9,225
2025-05-27 10:00:00,98.9,98.95,98.88,98.93,188
2025-05-27 10:15:00,98.94,99.09,98.93,99.09,275
2025-05-27 10:30:00,99.09,99.09,99.03,99.05,252
2025-05-27 10:45:00,99.05,99.22,99.04,99.21,283
2025-05-27 11:00:00,99.21,99.24,99.15,99.2,192
2025-05-27 11:15:00,99.2,99.31,99.19,99.28,291
2025-05-27 11:30:00,99.27,99.29,99.21,99.23,235
2025-05-27 11:45:00,99.23,99.24,99.19,99.24,158
2025-05-27 12:00:00,99.24,99.26,99.17,99.18,179
2025-05-27 12:15:00,99.18,99.26,99.17,99.24,156
2025-05-27 12:30:00,99.24,99.26,99.17,99.2,196
2025-05-27 12:45:00,99.21,99.24,99.19,99.23,186
2025-05-27 13:00:00,99.23,99.27,99.21,99.25,178
2025-05-27 13:15:00,99.24,99.28,99.2,99.25,141
2025-05-27 13:30:00,99.25,99.29,99.23,99.26,137
2025-05-27 13:45:00,99.27,99.32,99.24,99.27,173
2025-05-27 14:00:00,99.27,99.31,99.24,99.25,180
2025-05-27 14:15:00,99.25,99.32,99.25,99.3,160
2025-05-27 14:30:00,99.3,99.31,99.26,99.28,180
2025-05-27 14:45:00,99.29,99.29,99.24,99.29,122
2025-05-27 15:00:00,99.28,99.29,99.24,99.25,135
2025-05-27 15:15:00,99.25,99.26,99.22,99.26,107
2025-05-27 15:30:00,99.25,99.26,99.22,99.25,152
2025-05-27 15:45:00,99.24,99.25,99.17,99.18,203
2025-05-27 16:00:00,99.19,99.2,99.14,99.15,207
2025-05-27 16:15:00,99.16,99.2,99.13,99.13,207
2025-05-27 16:30:00,99.14,99.15,99.09,99.12,172
2025-05-27 16:45:00,99.13,99.16,99.1,99.13,167
2025-05-27 17:00:00,99.13,99.16,99.09,99.13,239
2025-05-27 17:15:00,99.12,99.25,99.12,99.22,258
2025-05-27 17:30:00,99.22,99.35,99.22,99.25,331
2025-05-27 17:45:00,99.24,99.33,99.21,99.32,268
2025-05-27 18:00:00,99.31,99.41,99.31,99.37,237
2025-05-27 18:15:00,99.38,99.4,99.33,99.36,272
2025-05-27 18:30:00,99.36,99.43,99.36,99.4,204
2025-05-27 18:45:00,99.4,99.47,99.37,99.38,195
2025-05-27 19:00:00,99.38,99.47,99.38,99.45,184
2025-05-27 19:15:00,99.46,99.51,99.41,99.49,185
2025-05-27 19:30:00,99.49,99.5,99.45,99.47,143
2025-05-27 19:45:00,99.47,99.49,99.42,99.42,158
2025-05-27 20:00:00,99.42,99.46,99.41,99.43,113
2025-05-27 20:15:00,99.43,99.46,99.42,99.44,120
2025-05-27 20:30:00,99.43,99.44,99.4,99.4,110
2025-05-27 20:45:00,99.4,99.44,99.39,99.42,117
2025-05-27 21:00:00,99.42,99.45,99.4,99.41,119
2025-05-27 21:15:00,99.42,99.43,99.4,99.42,83
2025-05-27 21:30:00,99.43,99.46,99.4,99.4,85
2025-05-27 21:45:00,99.41,99.43,99.39,99.41,73
2025-05-27 22:00:00,99.41,99.42,99.39,99.41,64
2025-05-27 22:15:00,99.41,99.43,99.38,99.4,95
2025-05-27 22:30:00,99.41,99.42,99.38,99.39,58
2025-05-27 22:45:00,99.39,99.42,99.39,99.42,73
2025-05-27 23:00:00,99.41,99.43,99.4,99.41,74
2025-05-27 23:15:00,99.41,99.48,99.4,99.47,100
2025-05-27 23:30:00,99.47,99.49,99.47,99.49,88
2025-05-27 23:45:00,99.48,99.49,99.48,99.48,47
2025-05-28 00:00:00,99.48,99.48,99.45,99.46,46
2025-05-28 00:15:00,99.47,99.49,99.46,99.48,42
2025-05-28 03:30:00,99.41,99.41,99.38,99.38,75
2025-05-28 03:45:00,99.39,99.4,99.34,99.34,65
2025-05-28 04:00:00,99.34,99.36,99.33,99.33,66
2025-05-28 04:15:00,99.34,99.43,99.34,99.43,129
2025-05-28 04:30:00,99.42,99.6,99.4,99.5,231
2025-05-28 04:45:00,99.51,99.52,99.4,99.44,197
2025-05-28 05:00:00,99.43,99.56,99.41,99.55,176
2025-05-28 05:15:00,99.55,99.59,99.54,99.57,126
2025-05-28 05:30:00,99.57,99.59,99.51,99.55,162
2025-05-28 05:45:00,99.54,99.57,99.51,99.52,128
2025-05-28 06:00:00,99.52,99.63,99.5,99.6,161
2025-05-28 06:15:00,99.61,99.7,99.57,99.67,212
2025-05-28 06:30:00,99.66,99.67,99.63,99.65,112
2025-05-28 06:45:00,99.65,99.71,99.64,99.7,122
2025-05-28 07:00:00,99.7,99.71,99.61,99.63,193
2025-05-28 07:15:00,99.63,99.65,99.59,99.63,159
2025-05-28 07:30:00,99.63,99.68,99.6,99.66,110
2025-05-28 07:45:00,99.67,99.69,99.65,99.68,82
2025-05-28 08:00:00,99.68,99.68,99.64,99.64,94
2025-05-28 08:15:00,99.65,99.67,99.63,99.67,126
2025-05-28 08:30:00,99.67,99.69,99.66,99.68,101
2025-05-28 08:45:00,99.69,99.77,99.68,99.72,181
2025-05-28 09:00:00,99.73,99.75,99.71,99.71,165
2025-05-28 09:15:00,99.72,99.72,99.59,99.59,131
2025-05-28 09:30:00,99.6,99.68,99.59,99.66,213
2025-05-28 09:45:00,99.66,99.67,99.59,99.6,157
2025-05-28 10:00:00,99.6,99.65,99.58,99.63,177
2025-05-28 10:15:00,99.63,99.68,99.63,99.68,184
2025-05-28 10:30:00,99.68,99.69,99.51,99.52,269
2025-05-28 10:45:00,99.52,99.57,99.51,99.56,147
2025-05-28 11:00:00,99.56,99.56,99.48,99.48,167
2025-05-28 11:15:00,99.48,99.5,99.43,99.48,180
2025-05-28 11:30:00,99.48,99.5,99.42,99.48,180
2025-05-28 11:45:00,99.49,99.53,99.49,99.51,178
2025-05-28 12:00:00,99.52,99.53,99.47,99.48,159
2025-05-28 12:15:00,99.47,99.49,99.41,99.43,148
2025-05-28 12:30:00,99.43,99.47,99.4,99.42,208
2025-05-28 12:45:00,99.42,99.44,99.4,99.43,183
2025-05-28 13:00:00,99.43,99.45,99.4,99.4,215
2025-05-28 13:15:00,99.41,99.46,99.39,99.45,137
2025-05-28 13:30:00,99.45,99.46,99.41,99.41,133
2025-05-28 13:45:00,99.41,99.44,99.38,99.39,115
2025-05-28 14:00:00,99.39,99.45,99.39,99.45,156
2025-05-28 14:15:00,99.45,99.53,99.44,99.51,186
2025-05-28 14:30:00,99.51,99.54,99.49,99.54,134
2025-05-28 14:45:00,99.53,99.55,99.51,99.53,114
2025-05-28 15:00:00,99.52,99.54,99.48,99.52,165
2025-05-28 15:15:00,99.53,99.59,99.52,99.58,138
2025-05-28 15:30:00,99.58,99.63,99.53,99.62,180
2025-05-28 15:45:00,99.62,99.63,99.55,99.61,153
2025-05-28 16:00:00,99.6,99.66,99.58,99.64,212
2025-05-28 16:15:00,99.63,99.66,99.59,99.65,258
2025-05-28 16:30:00,99.64,99.75,99.62,99.73,306
2025-05-28 16:45:00,99.73,99.76,99.67,99.75,236
2025-05-28 17:00:00,99.75,99.78,99.7,99.73,340
2025-05-28 17:15:00,99.73,99.76,99.66,99.69,348
2025-05-28 17:30:00,99.68,99.69,99.54,99.58,301
2025-05-28 17:45:00,99.59,99.62,99.54,99.55,259
2025-05-28 18:00:00,99.56,99.6,99.53,99.55,291
2025-05-28 18:15:00,99.55,99.71,99.53,99.69,423
2025-05-28 18:30:00,99.7,99.74,99.66,99.74,298
2025-05-28 18:45:00,99.73,99.81,99.72,99.76,272
2025-05-28 19:00:00,99.75,99.83,99.75,99.82,231
2025-05-28 19:15:00,99.81,99.85,99.8,99.84,190
2025-05-28 19:30:00,99.84,99.84,99.76,99.77,154
2025-05-28 19:45:00,99.77,99.78,99.74,99.76,120
2025-05-28 20:00:00,99.76,99.8,99.75,99.78,120
2025-05-28 20:15:00,99.77,99.8,99.75,99.75,108
2025-05-28 20:30:00,99.75,99.77,99.73,99.73,125
2025-05-28 20:45:00,99.73,99.75,99.71,99.74,95
2025-05-28 21:00:00,99.73,99.78,99.7,99.75,120
2025-05-28 21:15:00,99.75,99.78,99.73,99.76,112
2025-05-28 21:30:00,99.76,99.79,99.72,99.74,121
2025-05-28 21:45:00,99.74,99.83,99.74,99.83,125
2025-05-28 22:00:00,99.82,99.84,99.8,99.8,93
2025-05-28 22:15:00,99.8,99.82,99.75,99.76,156
2025-05-28 22:30:00,99.77,99.79,99.75,99.77,111
2025-05-28 22:45:00,99.77,99.8,99.75,99.79,89
2025-05-28 23:00:00,99.78,99.81,99.78,99.78,77
2025-05-28 23:15:00,99.78,99.82,99.78,99.8,88
2025-05-28 23:30:00,99.8,99.8,99.75,99.78,92
2025-05-28 23:45:00,99.77,99.78,99.75,99.76,51
2025-05-29 00:00:00,99.75,99.79,99.75,99.78,57
2025-05-29 00:15:00,99.78,99.8,99.77,99.79,49
2025-05-29 03:30:00,100.29,100.36,100.17,100.26,446
2025-05-29 03:45:00,100.26,100.33,100.16,100.19,403
2025-05-29 04:00:00,100.19,100.3,100.17,100.29,320
2025-05-29 04:15:00,100.28,100.32,100.22,100.31,320
2025-05-29 04:30:00,100.32,100.4,100.24,100.3,406
2025-05-29 04:45:00,100.3,100.37,100.24,100.26,274
2025-05-29 05:00:00,100.27,100.28,100.19,100.22,278
2025-05-29 05:15:00,100.23,100.23,100.15,100.16,228
2025-05-29 05:30:00,100.18,100.25,100.15,100.23,187
2025-05-29 05:45:00,100.23,100.25,100.19,100.2,192
2025-05-29 06:00:00,100.2,100.21,100.13,100.15,214
2025-05-29 06:15:00,100.14,100.21,100.11,100.21,214
2025-05-29 06:30:00,100.21,100.24,100.19,100.2,151
2025-05-29 06:45:00,100.21,100.22,100.14,100.16,126
2025-05-29 07:00:00,100.16,100.2,100.14,100.15,156
2025-05-29 07:15:00,100.15,100.2,100.13,100.19,123
2025-05-29 07:30:00,100.19,100.23,100.17,100.18,119
2025-05-29 07:45:00,100.18,100.18,100.14,100.14,79
2025-05-29 08:00:00,100.14,100.16,100.13,100.15,70
2025-05-29 08:15:00,100.14,100.21,100.14,100.18,117
2025-05-29 08:30:00,100.18,100.21,100.16,100.21,132
2025-05-29 08:45:00,100.21,100.22,100.17,100.21,107
2025-05-29 09:00:00,100.21,100.26,100.2,100.25,147
2025-05-29 09:15:00,100.26,100.33,100.23,100.24,193
2025-05-29 09:30:00,100.24,100.26,100.15,100.17,253
2025-05-29 09:45:00,100.18,100.18,100.01,100.02,315
2025-05-29 10:00:00,100.03,100.06,100.0,100.03,213
2025-05-29 10:15:00,100.03,100.04,99.99,100.01,259
