Date,Open,High,Low,Close,Volume
2025-08-04 03:30:00,98.44,98.51,98.42,98.49,56
2025-08-04 03:35:00,98.5,98.5,98.47,98.47,31
2025-08-04 03:40:00,98.47,98.56,98.47,98.55,48
2025-08-04 03:45:00,98.56,98.6,98.55,98.59,29
2025-08-04 03:50:00,98.59,98.62,98.57,98.62,52
2025-08-04 03:55:00,98.62,98.64,98.61,98.62,59
2025-08-04 04:00:00,98.63,98.68,98.63,98.66,69
2025-08-04 04:05:00,98.65,98.66,98.62,98.62,47
2025-08-04 04:10:00,98.61,98.66,98.6,98.65,38
2025-08-04 04:15:00,98.65,98.67,98.64,98.66,38
2025-08-04 04:20:00,98.66,98.68,98.64,98.66,52
2025-08-04 04:25:00,98.66,98.69,98.64,98.67,50
2025-08-04 04:30:00,98.68,98.7,98.65,98.66,55
2025-08-04 04:35:00,98.67,98.71,98.64,98.71,62
2025-08-04 04:40:00,98.71,98.73,98.7,98.71,32
2025-08-04 04:45:00,98.71,98.72,98.68,98.68,63
2025-08-04 04:50:00,98.68,98.74,98.68,98.73,43
2025-08-04 04:55:00,98.73,98.74,98.71,98.72,40
2025-08-04 05:00:00,98.72,98.73,98.68,98.7,61
2025-08-04 05:05:00,98.69,98.71,98.67,98.69,34
2025-08-04 05:10:00,98.69,98.7,98.66,98.66,58
2025-08-04 05:15:00,98.66,98.66,98.6,98.63,49
2025-08-04 05:20:00,98.63,98.64,98.59,98.6,46
2025-08-04 05:25:00,98.6,98.62,98.58,98.59,27
2025-08-04 05:30:00,98.59,98.62,98.56,98.6,51
2025-08-04 05:35:00,98.6,98.61,98.56,98.58,28
2025-08-04 05:40:00,98.58,98.59,98.56,98.57,29
2025-08-04 05:45:00,98.57,98.57,98.55,98.56,23
2025-08-04 05:50:00,98.56,98.57,98.54,98.56,32
2025-08-04 05:55:00,98.56,98.58,98.55,98.57,38
2025-08-04 06:00:00,98.57,98.57,98.55,98.56,39
2025-08-04 06:05:00,98.55,98.58,98.54,98.57,27
2025-08-04 06:10:00,98.58,98.6,98.56,98.56,30
2025-08-04 06:15:00,98.57,98.6,98.56,98.59,31
2025-08-04 06:20:00,98.6,98.6,98.57,98.57,26
2025-08-04 06:25:00,98.58,98.58,98.56,98.57,30
2025-08-04 06:30:00,98.56,98.56,98.49,98.5,27
2025-08-04 06:35:00,98.5,98.53,98.5,98.52,30
2025-08-04 06:40:00,98.52,98.52,98.49,98.5,20
2025-08-04 06:45:00,98.51,98.54,98.49,98.53,29
2025-08-04 06:50:00,98.53,98.54,98.52,98.53,26
2025-08-04 06:55:00,98.53,98.55,98.52,98.52,25
2025-08-04 07:00:00,98.52,98.56,98.51,98.54,32
2025-08-04 07:05:00,98.54,98.54,98.52,98.53,13
2025-08-04 07:10:00,98.53,98.55,98.52,98.54,24
2025-08-04 07:15:00,98.55,98.55,98.52,98.53,30
2025-08-04 07:20:00,98.53,98.54,98.51,98.52,26
2025-08-04 07:25:00,98.51,98.54,98.51,98.53,16
2025-08-04 07:30:00,98.54,98.54,98.51,98.52,23
2025-08-04 07:35:00,98.51,98.54,98.51,98.51,14
2025-08-04 07:40:00,98.51,98.51,98.49,98.51,12
2025-08-04 07:45:00,98.5,98.51,98.49,98.5,17
2025-08-04 07:50:00,98.5,98.51,98.49,98.5,19
2025-08-04 07:55:00,98.5,98.51,98.49,98.49,9
2025-08-04 08:00:00,98.49,98.5,98.48,98.5,13
2025-08-04 08:05:00,98.5,98.53,98.48,98.53,31
2025-08-04 08:10:00,98.53,98.55,98.53,98.53,18
2025-08-04 08:15:00,98.54,98.54,98.52,98.53,10
2025-08-04 08:20:00,98.53,98.55,98.52,98.54,19
2025-08-04 08:25:00,98.54,98.57,98.53,98.56,31
2025-08-04 08:30:00,98.56,98.59,98.54,98.55,47
2025-08-04 08:35:00,98.54,98.54,98.51,98.52,30
2025-08-04 08:40:00,98.53,98.55,98.52,98.54,24
2025-08-04 08:45:00,98.55,98.59,98.54,98.59,25
2025-08-04 08:50:00,98.58,98.59,98.56,98.56,21
2025-08-04 08:55:00,98.56,98.57,98.55,98.56,23
2025-08-04 09:00:00,98.56,98.6,98.56,98.59,33
2025-08-04 09:05:00,98.59,98.6,98.58,98.59,30
2025-08-04 09:10:00,98.58,98.61,98.58,98.6,27
2025-08-04 09:15:00,98.6,98.63,98.6,98.62,30
2025-08-04 09:20:00,98.62,98.64,98.61,98.62,23
2025-08-04 09:25:00,98.61,98.63,98.6,98.61,30
2025-08-04 09:30:00,98.6,98.64,98.59,98.63,66
2025-08-04 09:35:00,98.63,98.63,98.59,98.61,43
2025-08-04 09:40:00,98.61,98.63,98.54,98.55,81
